"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"sjpdb5-6",110300557320,1,1,0,1,5,1
"sjpbb5-8-l10-6",110300557320,3,1,0,1,5,1
"mtspnr",110300085070,3,3,0,2,7,3
"scjp",110300021910,4,4,0,2,12,4
"funt8",110300114040,2,2,0,2,2,2
"pack-unut8",110300252030,2,1,0,1,1,1
"bvgbs",110300070370,6,3,0,1,6,3
"corner",110302169330,8,10,0,2,6,2
"corner",110300439630,8,10,0,1,1,1
"fpua8-p6.90-l15-b5.0",110300565270,2,2,0,1,8,2
"vafm10-37-f9-m8-t9-n8",110300002040,1,1,0,1,1,1
"vafm10-58-f9-m8-t9-n8",110300002040,1,1,0,1,1,1
"pspj8-32",110300006240,1,1,0,1,1,1
"lpabb6-p9.9-b10-g5-l1",110300567370,1,1,0,1,4,1
"sfrz25-75-f20-b5-p20-t20-s5-q20",110300088050,1,1,0,1,4,1
"sfrz25-f20-b5-p20-t20-s5-q20",110300088050,1,1,0,0,4,1
"sfrz25-l75-f20-b5-p20-t20-s5-q20",110300088050,1,1,0,0,4,1
"hbtp",110302024610,3,4,0,4,7,4
"usbks",110301980240,4,2,0,1,6,2
"axfm-d60-l30-v18",110300272940,1,1,0,1,1,1
"clnp8-40",110300513920,0,1,0,1,1,1
"tbpj1",110300146330,2,1,0,1,4,1
"clnpp8",110300514010,0,1,0,1,2,1
"sdrch",110300434550,6,4,0,2,5,4
"lhifr-mx12",110300026020,0,1,0,1,2,1
"ensg2",110200012350,1,1,0,1,5,1
"ensg2-150-p1.00-n50-kc1",110200012350,1,1,0,0,5,1
"8yu",110302193740,5,5,0,1,7,3
"gdtc",110300433760,1,1,0,1,1,1
"aysk",110300275040,3,2,0,2,4,2
"cldmt",110300513560,4,1,0,1,1,1
"npbfs63-10",110300517760,0,1,0,1,1,1
"sfjw12-140-m5-n5-lkc",110300000550,1,1,0,1,2,1
"sfjw12-115-m4-n4",110300000550,1,1,0,1,2,1
"jzw",110300031530,3,3,0,1,5,3
"rmb",110300249750,5,4,0,2,7,4
"kessz8-15",110300254130,1,3,0,2,4,3
"c628zz",110302273450,4,3,0,2,7,3
"n-mstkd-ed",110300152450,1,1,0,1,1,1
"gram8",110300515840,1,2,0,1,2,2
"ssfar8_56",110300005720,1,1,0,1,1,1
"mpbz8_15",110300032230,1,1,0,1,1,1
"wssm13-8-12",110300231730,1,1,0,1,1,1
"psfrp17-150-f32-p14-kc118-a20-pkc15-c",110300088140,0,1,0,1,2,1
"ssfrp8-89-f13-p6",110300088140,1,1,0,0,2,1
"psfrp17-150.0-f32.0-p14-kc118-a20-pkc15-ckc",110300088140,1,1,0,0,2,1
"psfrp17-150.0-f32.0-p14",110300088140,1,1,0,0,2,1
"4-40",110300298050,3,1,0,1,1,1
"cldm8-40",110300513040,2,1,0,1,2,1
"cldm8-40-b",110300513040,1,1,0,0,2,1
"b688zz",110300107560,4,3,0,2,9,3
"2035",110302272570,1,1,0,1,6,1
"jlnsk15",110300119550,1,1,0,1,2,1
"uss10-40",110300596430,0,1,0,1,1,1
"sfjt10-90-m4",110300000210,1,1,0,1,2,1
"kftahh",110300558720,2,2,0,2,4,2
"kfa",110300558720,5,1,0,1,2,1
"cldmst",110301990470,9,6,0,4,24,6
"zkb",110302197150,4,3,0,2,6,3
"post clamps",110302197150,2,2,0,0,4,1
"lhird30",110300026970,1,2,0,2,6,2
"ap12-135.00-n19-a15",110200054350,1,1,0,1,1,1
"ap12-135-n19-a15",110200054350,1,1,0,0,1,1
"ronha",110300421250,2,2,0,1,4,2
"roekha",110300421250,1,1,0,0,2,1
"miniature linear guide - short block",110300042210,1,1,0,1,5,1
"ssebs8_55",110300042210,1,1,0,1,5,1
"cpdw19-5-6-",110300120950,1,1,0,1,1,1
"hgbpb20",110300362720,0,2,0,1,2,2
"bsx1002-140-sc6",110300079040,0,1,0,1,1,1
"door hinge",110300478650,5,8,1,1,8,4
"ssfac30-90-f85-p22",110300002920,1,1,0,1,3,1
"ssfac20-169-f38-p15",110300002920,1,1,0,1,3,1
"n-mstkd-fdb",110300153850,0,1,0,1,1,1
"n-mstkd-fd",110300153850,1,1,0,1,1,1
"rwbcu",110301959060,1,1,0,1,2,1
"azxhc",110300273210,3,1,0,1,1,1
"azch20",110300273210,0,1,0,0,1,1
"leveling mount",110302388250,5,5,2,3,15,3
"leveling mount",110302467960,5,5,2,1,1,1
"sanh12-80",110300591620,1,1,0,1,1,1
"fpjat10-p10.00-l15-820.0-t4.0",110300565720,1,1,0,1,3,1
"chta16",110300136170,4,2,0,1,2,2
"u-nclss0.25-d0.38-l0.570",110302179310,1,1,0,1,1,1
"u-lhfcw",110302150770,2,2,0,2,4,2
"cffag16-35",110300111760,2,1,0,1,2,1
"pcimrs6-8-0.3",110302399270,1,1,0,1,1,1
"hcft8",110300476210,3,3,0,3,5,3
"caster",110300476210,58,37,21,0,4,3
"hcft8-250",110300476210,0,1,0,1,2,1
"goniometer",110302035360,8,14,1,1,7,5
"goniometer",110300198310,8,14,1,3,8,4
"pcimas-d22-v10-t0.05",110300237240,1,1,0,1,2,1
"pcimas-d22-v10-t0.2",110300237240,1,1,0,1,2,1
"ssrp27",110300072470,2,2,0,1,3,2
"mpsps1520-50-26",110301963010,2,2,0,2,12,2
"llta2",110300040810,2,1,0,1,4,1
"llta",110300040810,6,3,0,1,11,3
"u-ssfan",110302148940,3,2,0,2,3,2
"mcssc",110300120520,2,1,0,1,6,1
"mcsscwk",110300120520,1,1,0,0,3,1
"jbhn",110300133120,8,2,0,1,5,2
"location pins",110300563710,7,5,1,1,1,1
"sfjt16-138-m6",110300000210,1,1,0,1,1,1
"lhblwc30",110300028550,1,1,0,1,1,1
"stopper screw",110300590830,10,18,0,2,7,3
"stopper screw",110300592840,10,18,0,3,9,3
"hfsb5",110302368830,8,6,0,3,9,3
"hfsb5-2040",110302368830,3,2,0,2,6,2
"nfsf5",110302368740,6,1,0,0,1,1
"atpa36l075-b-nuk-nfc",110300405670,1,1,0,1,4,1
"bsgm8-25",110300065830,2,2,0,2,10,2
"kmlu40-50",110300225520,1,2,0,1,7,2
"phscn140",110300371730,0,1,0,1,1,1
"exrs",110302393670,3,1,0,1,1,1
"exrs-c1",110302393330,9,8,0,2,20,8
"hblbsl6",110300445410,2,3,0,1,3,3
"mptp30",110300033360,0,1,0,1,1,1
"hpla20l075-f-14-bmc",110300408830,1,1,0,1,1,1
"u-fjcn0.500",110302173350,3,3,0,3,12,3
"mgcm2",110302242130,3,3,0,1,4,3
"fjcft14",110300369630,1,1,0,0,4,1
"fjcft",110300369630,1,1,0,1,4,1
"pfx",110300090150,8,2,0,2,4,2
"wssb8-5-8",110300231730,0,1,0,1,4,1
"wt4-15",110100184970,2,2,0,1,1,1
"wt4-15",110302288060,2,2,0,1,4,1
"dplr4",110301998620,2,4,0,3,18,4
"digital counter",110301998620,4,3,0,0,7,2
"dplr",110301998620,2,1,0,0,6,1
"hfcb6",110302253940,3,2,0,2,4,2
"hfcb6-3030-b",110302253940,3,2,0,1,3,2
"hblfsdd6-c",110300443040,1,1,0,1,1,1
"hblbca",110300445570,2,2,0,1,2,1
"hblbca",110300452230,2,2,0,1,1,1
"jbh20-20",110300133120,8,9,0,5,9,9
"jbh12-20",110300133120,4,4,0,2,4,4
"wh4",110100185150,2,2,0,2,4,2
"u-sfjw1.00-l1.650-t0.31-u0.31-lkc",110302148760,1,1,0,1,2,1
"ket12",110300253950,1,2,0,1,2,2
"lpajc5-p8.0-b11.0-r2-l0-sc6-nn",110300567370,1,1,0,1,1,1
"mtstrw10-267-f28-v7-s11-q7-ac9-aq9",110300083060,2,2,0,2,6,2
"mtstrw10-268-f24-v6-s12-q6-ac9-aq9",110300083060,2,2,0,2,6,2
"rtwn80",110300258510,3,2,0,1,2,2
"rtwn5",110300258510,0,1,0,1,1,1
"styf166",110300525120,2,2,0,1,2,2
"swr14.5-100",110200141940,1,1,0,1,1,1
"rtws45",110300258510,0,1,0,1,1,1
"chfl50",110100191450,0,1,0,1,2,1
"pack-smib2.0-8",110300243810,1,2,0,2,6,2
"pack-smib1.4-3",110300243810,1,1,0,1,3,1
"bpj10",110100150850,2,3,0,3,4,3
"bsj10",110100150850,3,4,0,4,7,4
"nfb40",110302287110,1,1,0,1,1,1
"htun405",110300413730,1,1,0,1,1,1
"fjhsa8",110300365860,1,1,0,1,1,1
"clqbm",110301992840,3,1,0,1,1,1
"tcjsa16-150-m8",110300353620,0,1,0,1,1,1
"u-sfjt1.50-l3.25-t0.50",110302148670,1,1,0,1,1,1
"auto-latch",110302196970,4,3,0,0,12,3
"atlam25",110302196970,1,2,0,1,6,2
"u-lnnan0.38-p0.5000-b0.35-l0.38",110302166530,3,2,0,2,2,2
"pln40",110300114130,2,2,0,1,2,2
"msygc",110300257020,1,1,0,1,1,1
"vafz16-250-f12-m8-n6-sc6-sx5",110300002740,0,1,0,1,1,1
"vafz16-250-f12-m8-n6",110300002740,0,1,0,0,1,1
"aipoz",110300266730,3,1,0,1,1,1
"anbnh",110300591010,0,1,0,1,1,1
"bsjls",110300145540,0,1,0,1,1,1
"bsst1505-311",110300077910,1,1,0,1,6,1
"sebnz16-150-mc",110300041940,2,2,0,1,5,2
"fulcrum",110300097240,8,7,2,2,6,3
"rtwn52",110300258510,2,1,0,1,1,1
"cmgns",110300500440,3,2,0,1,4,2
"lhfcr20",110300027060,1,1,0,1,1,1
"sfrbf_d25_l540_m10_u435_kc65_a26_wkc181_c26_k66_e26_2_03",110302399810,1,1,0,1,2,1
"sfrbf-d25-l540-m10-u435-kc65-a26-wkc181- c26-k66-e26",110302399810,2,2,0,2,4,2
"rbbs100-100-12",110300541040,2,2,0,2,3,2
"hfpstb",110300493870,5,6,0,3,12,6
"hfpslw",110300493870,1,1,0,0,2,1
"cpdw50",110300120950,2,1,0,1,1,1
"geahbg1.0-80-10-",110300428430,0,1,0,0,2,1
"geakbg1.0-80-10-b",110300428430,0,1,0,0,2,1
"geahbg1.0-80-10-b-38",110300428430,0,1,0,1,2,1
"geakbg1.0-24-10-b",110300428430,1,1,0,0,2,1
"ssrn3614",110300068270,1,1,0,1,1,1
"xyfes40",110302395770,3,3,0,1,3,3
"sfpspd3-p3-l5-b3",110300559670,1,1,0,1,1,1
"unah8-15",110300597130,2,1,0,1,1,1
"gpa24gt",110302193470,5,3,0,3,3,3
"gpa24gt2060-b-h5",110302193470,5,4,0,2,4,4
"msw6",110100143420,1,1,0,1,1,1
"mykp50-200",110100162140,1,2,0,1,2,2
"sppzsq-p2.25-l13.0-t3.0-h4.0",110301963440,1,1,0,1,1,1
"dwssb-d25",110302283340,2,6,0,6,12,6
"dwssb",110302283340,23,8,0,0,15,8
"dwssb-d30",110302283340,0,2,0,2,4,2
"sprk5",110300143710,2,2,0,0,6,2
"sprz5",110300143710,1,1,0,0,3,1
"sprk",110300143710,0,1,0,1,3,1
"sprz",110300143710,4,1,0,1,3,1
"fwsrs-d12-v3-e2-t3.0",110300233560,1,1,0,1,1,1
"msbmf6",110300249140,3,2,0,2,2,2
"lpagb6-p10-b10-g4-l0-lac-mc5",110300567370,1,1,0,0,1,1
"lpagb6-p8.00-b10.0-g4-l0-lac-mc5",110300567370,1,1,0,1,1,1
"sfas8-120-f10-b8-p6-sc10",110300001160,2,2,0,2,4,2
"fwf12-80-b",110300268470,1,1,0,1,4,1
"ajslc",110300600110,2,2,0,2,4,2
"racw",110300542010,6,3,0,3,6,3
"racw4",110300542010,1,1,0,1,2,1
"umbh6-20",110300424050,1,2,0,1,7,2
"micrometer x axis",110300196550,1,1,0,1,1,1
"mpfz25-30",110300032930,2,1,0,1,1,1
"jpngb8-p12.5-b12-g8-rac5",110302194710,5,1,0,1,1,1
"bmuan2-12",110300291840,1,1,0,1,2,1
"aatfw14-h",110300410750,1,2,0,2,2,2
"umb",110300423960,8,2,0,2,2,2
"wsp",110200009370,6,1,0,1,1,1
"fwf",110300268470,1,1,0,1,1,1
"atpa15h150-b-n16",110300405760,0,1,0,1,1,1
"cam clamp",110301990650,7,7,0,1,16,7
"telana10t-p9.7-b20-l12",110300578660,0,1,0,1,1,1
"teland10t-p9.8-b20-l12",110300578660,1,1,0,0,1,1
"telana10t-p9.7-b15-l12-a30-es",110300578660,1,1,0,0,1,1
"telana10t-p5.8-b10",110300578660,2,1,0,0,1,1
"sfad10-25-f6-b4-p5-n5",110300002310,2,2,0,1,6,2
"cctfm12",110300214320,1,1,0,1,1,1
"kes6-60",110300253770,1,1,0,1,1,1
"u-hccg",110302170460,4,2,0,1,5,2
"gdts60",110300433760,0,1,0,1,2,1
"jbhfy",110300133730,3,1,0,1,5,1
"u-azch1.25-l1.00-t0.25",110302182720,3,3,0,3,9,3
"u-azch",110302182720,3,1,0,0,3,1
"egbh50-30",110200099940,1,1,0,1,2,1
"ajp8-10",110300598440,3,3,0,3,12,3
"ajp8-13",110300598440,1,1,0,1,4,1
"llt1",110300065560,2,1,0,1,4,1
"ssfrw10-127.0-m4-n4",110300089020,0,1,0,1,2,1
"sfj15-150",110300000120,1,1,0,1,1,1
"ysstm100-b100-h150",110300543320,0,1,0,1,1,1
"hfs3-1515-300",110300465870,2,3,0,0,3,3
"hfs3-1515-600",110300465870,1,1,0,1,1,1
"clkb15-6-70",110300359650,2,1,0,1,1,1
"hnsq3-3",110300465710,3,2,0,1,2,2
"mstaf",110300155610,1,1,0,1,1,1
"hfgss-b60-n60",110302307230,1,1,0,1,1,1
"uwans1",110300521350,1,1,0,1,4,1
"fjgm8-100-c",110300507440,1,1,0,1,1,1
"pssfgu6-25-f16-b14-p5-t13-s11-q4-sc5",110300001860,1,1,0,1,1,1
"vtbs",110200097410,1,2,0,2,6,2
"susrt8",110300596520,1,1,0,1,1,1
"fwbs6",110300247740,1,2,0,0,4,2
"fwbs6-33-e10-f10",110300247740,0,1,0,1,3,1
"sfxda",110300092520,1,1,0,1,3,1
"wzjj10",110300235930,1,1,0,1,1,1
"wzjj10-8",110300235930,1,1,0,1,1,1
"sthrbn",110300011750,3,2,0,0,3,2
"sthrbnl",110300011750,1,1,0,1,2,1
"fbr60-12-70",110300508840,2,1,0,1,2,1
"u-sfah1.50-l26.500-p1.0000-f1.00-t0.63-g2.00",110302149370,2,1,0,1,2,1
"lx2001-b2-t2056.4-200",110300075020,1,1,0,1,1,1
"lx2001-b2-t2056.4-200-sp3",110300075020,4,3,0,0,8,3
"nwgf",110300518820,1,1,0,1,1,1
"rolnlm",110300422470,2,1,0,1,2,1
"rolnla",110300422470,1,2,0,2,4,2
"sjpngb8-p10-b15-g6",110302194710,1,1,0,1,4,1
"cpo20-6-6",110300125150,4,4,0,1,9,4
"fwsbb-d9.5-v5.5-t2.0",110300231910,2,2,0,2,2,2
"urfl-d66-v25-t2",110300271450,1,1,0,1,5,1
"urfl-d38-v25-t2.0",110300271450,1,1,0,1,5,1
"urfl-d60-v25-t2",110300271450,2,1,0,1,5,1
"urfm-d66-v25-t2.0",110300271450,2,1,0,1,5,1
"urfm-d66-v25-t[1-10/0.5]",110300271450,3,2,0,2,10,2
"jpna",110300558270,6,4,0,4,19,4
"jpna20-28",110300558270,1,1,0,0,1,1
"hok",110300515660,3,3,0,2,6,3
"hok40",110300515660,1,1,0,1,2,1
"fjrl",110300353870,11,8,0,2,23,8
"hnttss5",110302246150,2,1,0,1,1,1
"rbbw40-40-12",110300541040,1,1,0,1,4,1
"psfhr12_370-0",110300086920,1,1,0,1,1,1
"ssfrhp",110300088140,1,1,0,1,3,1
"sseb10-135",110300041510,3,3,0,2,6,3
"seb10-135",110300041510,1,1,0,1,1,1
"sceraw12-4",110300236630,1,2,0,1,2,2
"cerab4-8",110300236630,1,2,0,1,6,2
"rorlag30-t5-12-l350",110300422740,1,2,0,2,2,2
"kess8-16",110300253770,3,2,0,2,2,2
"lsmsb10-40",110300248960,2,2,0,2,2,2
"ssebwz9-50",110300045260,3,3,0,3,13,3
"ycpfp44f",110300319570,1,3,0,2,3,3
"ycpfp34f",110300319570,1,1,0,0,1,1
"sb6901zz",110302272750,3,2,0,1,4,2
"lp13-35",110100149540,1,1,0,1,1,1
"msfstn12-150",110300215450,0,1,0,1,2,1
"epw-l",110200005350,1,1,0,1,5,1
"epwg",110200005350,3,2,0,1,10,2
"csn",110100190660,3,2,0,1,2,2
"nastfz6",110300109660,3,3,0,0,5,3
"nastfz",110300109660,3,1,0,1,3,1
"nastf",110300109660,3,4,0,1,6,4
"nastfzs",110300109660,0,4,0,4,7,4
"xslc60",110300193570,3,4,0,3,4,4
"hfs8-4040-1357.5-tpw",110302370930,1,1,0,1,2,1
"rbpb6",110300371460,0,1,0,1,1,1
"tapped block",110300594060,3,2,0,1,4,1
"ajsn",110300594060,4,1,0,1,4,1
"hcmgh4-16",110300095570,2,2,0,1,2,2
"cbsst3-8",110300244510,2,3,0,2,3,3
"ckfdmm4-p4-l8-b10-e1-a15",110300558720,1,2,0,1,3,2
"mpfl",110300143170,6,3,0,1,12,3
"fsfjff",110300007370,1,2,0,2,2,2
"spcps30-h-sb",110302203020,2,2,0,2,8,2
"hfel1010-lc73-p5.1-w5.1-f0",110100113750,1,1,0,1,1,1
"wssb35-16-5",110300231730,1,1,0,1,1,1
"fwt",110300268470,7,5,0,4,9,5
"ssfu8",110300000120,2,1,0,1,1,1
"xsgb60-a",110300194450,6,3,0,1,8,3
"xsgb60a",110300194450,3,2,0,0,12,2
"cfur18",110300111150,1,1,0,1,1,1
"ssfrhq",110300088230,3,3,0,2,10,3
"ssfrhq8-20-f25-p6-t10-q6",110300088230,2,2,0,2,6,2
"ssfrmhq8-20-f25-p6-t8-q6",110300088230,1,1,0,1,3,1
"umhs3",110300423350,1,1,0,1,1,1
"sfpba2-p3-l4-b4",110300557320,2,2,0,2,2,2
"msb6-70",110300249140,2,2,0,1,1,1
"spls10-10",110302289460,2,3,0,1,3,3
"chet80",110300433330,1,2,0,0,4,2
"chet",110300433330,5,2,0,2,4,2
"sp50b22-",110300431750,2,1,0,1,2,1
"rs306b-c1-n-3-200-r",110301984870,2,3,0,1,11,3
"bghfb698zz",110300105210,1,1,0,1,3,1
"bghfb",110300105210,3,2,0,1,7,2
"cpd",110302274240,16,4,0,1,2,1
"pcimrs8-14-0.05",110302399270,1,1,0,1,4,1
"pcimrs8-14-0.1",110302399270,1,1,0,1,4,1
"pcimrs8-14-0.01",110302399270,1,1,0,1,4,1
"pcimrs8-14-0.2",110302399270,1,1,0,1,4,1
"mtsbhr12",110300085520,0,1,0,1,1,1
"lhbb10",110300028730,2,1,0,1,1,1
"mdzb6",110300037470,0,1,0,1,2,1
"mtsrv12-185-f25-v8-s33-q8-c5-j19",110300083060,1,1,0,1,1,1
"mtsrv12-413-f25-v8-s33-q8-c5-j19",110300083060,1,1,0,1,1,1
"epd3.5-100",110200004220,1,1,0,1,2,1
"sfj10-373",110300000120,1,1,0,1,1,1
"sfj10-146",110300000120,1,1,0,1,1,1
"xyrspg85",110302199950,4,5,0,2,25,5
"chbk632",110300515750,1,1,0,1,1,1
"renb8",110300242930,1,1,0,1,1,1
"yclpfp34f",110300320970,1,2,0,1,6,2
"frsnut3",110300250970,3,4,0,3,11,4
"jsaas-am-a52-b52-t2-l32-g32-n8",110302461570,2,1,0,1,1,1
"lhfcdm20",110300026720,1,1,0,1,1,1
"box screws",110301994760,1,4,0,1,2,1
"cbas8",110300244940,1,1,0,1,5,1
"wssm16",110300231730,1,2,0,2,2,2
"atpa14l050-a-p9",110300405670,2,2,0,2,6,2
"atpa21l050-a-n15",110300405670,2,2,0,1,6,2
"ssfjw20-285-m4-n4",110300000550,2,1,0,1,3,1
"jzb30-25",110300038350,2,1,0,1,1,1
"msb10-100",110300249140,4,7,0,4,24,6
"msb10-90",110300249140,4,4,0,0,12,3
"phccg20-45.0",110300095750,2,2,0,1,2,2
"zwg60",110300192960,2,4,0,3,6,4
"sthcbt20",110300010440,2,2,0,2,8,2
"mhpus412",110301962830,3,1,0,1,1,1
"mc04-6",110302029940,1,3,0,3,4,3
"ssp60b30-n-40",110300431930,2,2,0,2,6,2
"u-ajkc",110302168970,2,3,0,1,4,3
"sfxmb20-7-f61-t2-ma8",110300099340,2,2,0,1,2,2
"kjbpfh",110300173540,2,1,0,1,1,1
"wfsp3-0.4-14",110300266120,3,2,0,2,6,2
"vfjc",110300000370,2,3,0,1,5,3
"gjpdtd8-p10-l22-b15-g6-a11-y",110300560640,1,1,0,1,4,1
"sfan10-140-f6-b4-p6",110300000910,2,2,0,1,2,2
"rgpft",110300024710,4,2,0,2,6,2
"psccn4-6",110300018230,0,2,0,2,2,2
"fpqna3-p4.3-l6-b3.0",110300561340,1,1,0,1,1,1
"u-psfjt1.00",110302148670,1,1,0,1,1,1
"wsss20-15-2",110300231730,1,1,0,1,1,1
"cfpcha5-p6.00-l9-b1",110301963350,1,1,0,1,2,1
"cfpcha5",110301963350,2,2,0,1,4,2
"contact probe assembly",110300401220,1,4,0,1,1,1
"vfjt30",110300000210,2,2,0,1,3,2
"ajfssm",110300594060,0,1,0,1,1,1
"sprue bushing",110200176330,2,2,0,1,2,1
"ssfu8-250",110300000120,3,2,0,1,7,2
"srkn10",110300328850,0,1,0,1,1,1
"sanh10",110300591620,1,1,0,1,1,1
"wr5-10",110100184630,1,1,0,1,1,1
"u-atpa14h100",110302161360,1,1,0,1,1,1
"vpfaz2",110300002470,1,1,0,1,2,1
"picp6",110302402250,3,3,0,2,8,3
"rigid couplings",110300126910,1,2,0,1,4,1
"umbdrh10-30",110302278870,1,2,0,1,2,2
"umbdrh10-40",110302278870,1,3,0,3,3,3
"plsbh12-57-f16-m6-n6",110300207140,4,3,0,1,9,3
"plsbh12",110300207140,1,1,0,0,3,1
"u-ssfrq0.50-l9.500-f0.45-p0.3083-lkc",110302157160,2,2,0,0,12,2
"u-psfrq0.50-l9.635-f0.44-p0.3083-wfc0.00-w0.00-j0.5-v0.5-lkc-ckc",110302157160,4,3,0,0,18,3
"u-psfrq0.50-l9.510-f0.44-p0.3083-wfc0-j0.50-w0-v0.5-ckc-lck",110302157160,0,1,0,1,6,1
"u-ssfrq0.50-f0.45-p0.3083-lkc",110302157160,1,1,0,0,6,1
"u-psfrq",110302157160,1,1,0,0,6,1
"u-psfrq0.50-l9.510-f0.44-p0.3083-wfc0.00-w0.00-j0.50-v0.50-lkc-ckc",110302157160,1,1,0,0,6,1
"roekua50-12-30-t10",110300421250,1,1,0,1,1,1
"mspb10",110300156470,1,1,0,1,1,1
"rorua25-30",110300420640,0,1,0,1,1,1
"htla",110300409170,18,1,0,1,2,1
"atpa20l050-a-huk",110300405670,4,4,0,2,10,4
"sccgh6-51.0",110300095320,2,2,0,1,4,2
"sccgh",110300095320,2,2,0,0,2,2
"sfl6802zz",110302273720,1,1,0,1,2,1
"sselb10-195",110300042820,0,1,0,1,1,1
"bumper screw",110301980240,1,1,0,0,3,1
"ulbys15-10-m6",110301980240,0,1,0,1,3,1
"floatting joints",110300353870,1,1,0,1,2,1
"cfpqa5-p7.00-l6-b5.8",110300560910,1,1,0,1,5,1
"gsstn1",110300217370,1,1,0,1,6,1
"pack-sntrcs6",110301997310,2,3,0,1,3,3
"knurled head",110300516970,2,1,0,1,3,1
"mesh",110302222010,8,3,4,1,2,2
"msc1.5-8",110300255260,2,3,0,1,3,3
"wf4-25",110302287970,9,9,0,5,19,6
"wf6-25",110302287970,1,1,0,1,1,1
"jbac8-10",110300132760,2,4,0,3,16,4
"jbac8",110300132760,2,2,0,2,8,2
"umhs30-8",110300423350,2,2,0,2,5,2
"umhah30-8",110300423350,1,1,0,1,3,1
"pcimrs6-10-0.3",110302399270,1,2,0,2,5,2
"pcimrs12-15-0.05",110302399270,2,1,0,1,1,1
"lhfcf25",110300027060,0,1,0,1,1,1
"jban8",110300132760,2,1,0,1,4,1
"gnp6",110300400950,2,3,0,3,6,3
"contact probe assembly",110300400950,1,4,0,0,2,1
"ckf80-171",110100183660,1,1,0,1,3,1
"sarc2",110300072130,2,1,0,1,2,1
"ssfjw5-20-m3-n3",110300000550,2,2,0,1,2,2
"cmflu",110302274420,1,1,0,0,2,1
"cmflbf",110302274420,0,1,0,1,2,1
"saipok4-20",110300267070,1,1,0,1,1,1
"hnttsn6",110302251050,4,3,0,2,5,3
"hnttsn",110302251050,7,2,0,1,2,1
"hnttsn",110302256040,7,2,0,1,1,1
"hfs6-3060-229-rmv-lmv",110302369870,2,2,0,2,4,2
"sxykn12",110300148770,2,1,0,1,1,1
"ajsts8-75",110300599050,1,1,0,1,1,1
"jbaucp5-8",110300132850,1,1,0,1,2,1
"sjpra",110300584620,4,3,0,1,5,3
"msc4-10",110300255260,4,7,0,5,11,7
"mounted bearing",110300027420,9,16,0,1,2,1
"mounted bearing",110300079920,9,16,0,1,4,4
"caf5",110302368830,1,2,0,1,4,2
"saipo3-20",110300266730,3,3,0,2,5,3
"bspoz3-10",110300267520,2,2,0,2,2,2
"lhss20",110300028370,0,3,0,3,12,3
"linear bushing compact",110300028370,2,2,0,0,10,2
"mshs4-8",110302390530,2,1,0,1,1,1
"sxrz42-200-llc-rrc",110300039930,2,1,0,1,1,1
"ssv2r-mx33-520",110300047810,0,1,0,1,1,1
"small head screw",110300243970,1,1,0,1,3,1
"bsbm",110300080870,2,2,0,2,4,2
"bss2005-550",110300079310,2,2,0,2,7,2
"erscb6-7-25",110300247040,1,1,0,1,1,1
"hkus5-h25",110300373470,1,1,0,1,3,1
"sb6205",110302272930,1,1,0,1,1,1
"r-lana6-p6-b20-l5",110300578660,1,1,0,1,1,1
"b6205zz",110300589070,1,1,0,1,2,1
"aikyz",110302202750,2,2,0,2,5,2
"kjbphst30_p20_00_l19_t2_lkc",110300173540,1,1,0,1,1,1
"kjbphsts16-p12-l17-t2-tkc",110300173540,2,2,0,2,2,2
"kjbphsts10-p6-l7-t2-tkc",110300173540,2,1,0,1,1,1
"kjbpfhs25_p20_00_l16_t3_0_h32_lkc",110300173540,1,1,0,1,1,1
"sgmsb8-30",110300249410,0,1,0,1,3,1
"shtbt",110300551110,2,1,0,1,1,1
"u-atp",110302161270,11,1,0,1,4,1
"u-atp50",110302161270,1,1,0,1,4,1
"vsfpd",110300004320,1,1,0,1,1,1
"hntasn5-3",110302247120,1,1,0,1,6,1
"hntasn5",110302247120,1,1,0,1,6,1
"hntasn5-5",110302247120,1,1,0,1,6,1
"vpdt10",110300329370,2,2,0,2,8,2
"vpdt",110300329370,1,1,0,1,4,1
"vpbt",110300329210,1,1,0,1,2,1
"sse2bsn13-245",110300042550,0,1,0,1,2,1
"ohblt60-1.29",110300417660,1,1,0,1,1,1
"u-ajkfn",110302168810,2,3,0,2,5,3
"u-ajktn",110302168810,2,2,0,1,3,2
"grh",110300516450,4,4,0,3,9,4
"csby32-25",110100164240,1,1,0,1,1,1
"handwheels",110300515660,3,5,0,1,2,1
"ssfay",110300003870,3,2,0,2,8,2
"hpjn8",110302261120,1,1,0,1,2,1
"hpj",110302261120,1,1,0,1,2,1
"srrh15024",110300072310,1,1,0,1,1,1
"fpua",110300565270,8,6,0,0,17,6
"jpub",110300565270,1,1,0,1,2,1
"rpg60",110300198560,0,1,0,1,4,1
"ajsn6-20",110300594060,1,1,0,1,1,1
"ussteh",110300596160,8,5,0,3,14,5
"ssebn13-195",110300041940,2,2,0,2,8,2
"ajltt",110300594420,6,4,0,2,8,4
"bnfm2010s",110302402070,1,1,0,1,2,1
"bnfm2010s-28",110302402070,1,1,0,1,2,1
"uwanea10-100-27",110300521350,3,2,0,2,2,2
"uwans10-100-27",110300521350,1,1,0,1,1,1
"ftpa20mxl-a",110300407250,1,1,0,1,2,1
"asafs",110300238210,6,5,0,1,9,5
